ID Cliente,meses_consecutivos,Categoria
1,0,Inactivo
2,24,Diamante
3,0,Inactivo
4,24,Diamante
5,24,Diamante
6,0,Inactivo
7,24,Diamante
8,24,Diamante
9,24,Diamante
10,0,Inactivo
11,24,Diamante
12,24,Diamante
13,24,Diamante
14,24,Diamante
15,24,Diamante
16,24,Diamante
17,24,Diamante
18,0,Inactivo
19,0,Inactivo
20,24,Diamante
21,0,Inactivo
22,24,Diamante
23,0,Inactivo
24,24,Diamante
25,24,Diamante
26,24,Diamante
27,24,Diamante
28,24,Diamante
29,0,Inactivo
30,24,Diamante
31,24,Diamante
32,24,Diamante
33,24,Diamante
34,24,Diamante
35,0,Inactivo
36,24,Diamante
37,24,Diamante
38,24,Diamante
39,24,Diamante
40,24,Diamante
41,0,Inactivo
42,24,Diamante
43,24,Diamante
44,24,Diamante
45,24,Diamante
46,24,Diamante
47,24,Diamante
48,0,Inactivo
49,24,Diamante
50,24,Diamante
51,24,Diamante
52,0,Inactivo
53,24,Diamante
54,24,Diamante
55,24,Diamante
56,24,Diamante
57,24,Diamante
58,0,Inactivo
59,24,Diamante
60,24,Diamante
61,24,Diamante
62,24,Diamante
63,24,Diamante
64,24,Diamante
65,24,Diamante
66,24,Diamante
67,24,Diamante
68,0,Inactivo
69,24,Diamante
70,24,Diamante
71,24,Diamante
72,24,Diamante
73,24,Diamante
74,24,Diamante
75,24,Diamante
76,24,Diamante
77,0,Inactivo
78,24,Diamante
79,0,Inactivo
80,24,Diamante
81,24,Diamante
82,24,Diamante
83,24,Diamante
84,0,Inactivo
85,24,Diamante
86,24,Diamante
87,24,Diamante
88,24,Diamante
89,24,Diamante
90,24,Diamante
91,0,Inactivo
92,24,Diamante
93,24,Diamante
94,24,Diamante
95,24,Diamante
96,24,Diamante
97,0,Inactivo
98,24,Diamante
99,24,Diamante
100,24,Diamante
101,24,Diamante
102,24,Diamante
103,24,Diamante
104,24,Diamante
105,24,Diamante
106,21,Diamante
107,0,Inactivo
108,24,Diamante
109,24,Diamante
110,24,Diamante
111,24,Diamante
112,10,Esmeralda
113,24,Diamante
114,24,Diamante
115,0,Inactivo
116,24,Diamante
117,24,Diamante
118,24,Diamante
119,24,Diamante
120,24,Diamante
121,0,Inactivo
122,24,Diamante
123,24,Diamante
124,24,Diamante
125,24,Diamante
126,24,Diamante
127,24,Diamante
128,24,Diamante
129,24,Diamante
130,24,Diamante
131,0,Inactivo
132,24,Diamante
133,24,Diamante
134,24,Diamante
135,24,Diamante
136,24,Diamante
137,24,Diamante
138,0,Inactivo
139,24,Diamante
140,24,Diamante
141,24,Diamante
142,24,Diamante
143,24,Diamante
144,24,Diamante
145,0,Inactivo
146,24,Diamante
147,24,Diamante
148,0,Inactivo
149,24,Diamante
150,24,Diamante
151,24,Diamante
152,24,Diamante
153,24,Diamante
154,24,Diamante
155,24,Diamante
156,24,Diamante
157,0,Inactivo
158,24,Diamante
159,24,Diamante
160,24,Diamante
161,24,Diamante
162,0,Inactivo
163,0,Inactivo
164,24,Diamante
165,24,Diamante
166,24,Diamante
167,24,Diamante
168,24,Diamante
169,0,Inactivo
170,0,Inactivo
171,0,Inactivo
172,24,Diamante
173,24,Diamante
174,24,Diamante
175,24,Diamante
176,0,Inactivo
177,24,Diamante
178,0,Inactivo
179,24,Diamante
180,24,Diamante
181,24,Diamante
182,24,Diamante
183,24,Diamante
184,24,Diamante
185,24,Diamante
186,24,Diamante
187,24,Diamante
188,24,Diamante
189,24,Diamante
190,0,Inactivo
191,24,Diamante
192,24,Diamante
193,24,Diamante
194,0,Inactivo
195,0,Inactivo
196,24,Diamante
197,0,Inactivo
198,0,Inactivo
199,24,Diamante
200,24,Diamante
201,24,Diamante
202,5,Plata
203,24,Diamante
204,24,Diamante
205,24,Diamante
206,0,Inactivo
207,0,Inactivo
208,24,Diamante
209,24,Diamante
210,24,Diamante
211,24,Diamante
212,0,Inactivo
213,24,Diamante
214,0,Inactivo
215,0,Inactivo
216,0,Inactivo
217,24,Diamante
218,24,Diamante
219,24,Diamante
220,24,Diamante
221,24,Diamante
222,0,Inactivo
223,24,Diamante
224,24,Diamante
225,24,Diamante
226,0,Inactivo
227,24,Diamante
228,24,Diamante
229,24,Diamante
230,24,Diamante
231,24,Diamante
232,24,Diamante
233,24,Diamante
234,24,Diamante
235,24,Diamante
236,24,Diamante
237,24,Diamante
238,24,Diamante
239,24,Diamante
240,24,Diamante
241,24,Diamante
242,24,Diamante
243,19,Diamante
244,24,Diamante
245,24,Diamante
246,24,Diamante
247,24,Diamante
248,24,Diamante
249,0,Inactivo
250,24,Diamante
251,24,Diamante
252,24,Diamante
253,24,Diamante
254,0,Inactivo
255,0,Inactivo
256,24,Diamante
257,24,Diamante
258,24,Diamante
259,24,Diamante
260,24,Diamante
261,24,Diamante
262,24,Diamante
263,24,Diamante
264,24,Diamante
265,24,Diamante
266,24,Diamante
267,0,Inactivo
268,24,Diamante
269,24,Diamante
270,24,Diamante
271,10,Esmeralda
272,24,Diamante
273,24,Diamante
274,24,Diamante
275,24,Diamante
276,24,Diamante
277,24,Diamante
278,24,Diamante
279,24,Diamante
280,24,Diamante
281,24,Diamante
282,24,Diamante
283,24,Diamante
284,24,Diamante
285,0,Inactivo
286,24,Diamante
287,0,Inactivo
288,24,Diamante
289,24,Diamante
290,24,Diamante
291,24,Diamante
292,23,Diamante
293,24,Diamante
294,24,Diamante
295,24,Diamante
296,0,Inactivo
297,24,Diamante
298,24,Diamante
299,24,Diamante
300,24,Diamante
301,24,Diamante
302,24,Diamante
303,24,Diamante
304,0,Inactivo
305,24,Diamante
306,24,Diamante
307,24,Diamante
308,24,Diamante
309,24,Diamante
310,24,Diamante
311,24,Diamante
312,24,Diamante
313,24,Diamante
314,24,Diamante
315,0,Inactivo
316,24,Diamante
317,0,Inactivo
318,24,Diamante
319,24,Diamante
320,24,Diamante
321,24,Diamante
322,24,Diamante
323,12,Diamante
324,24,Diamante
325,24,Diamante
326,24,Diamante
327,0,Inactivo
328,24,Diamante
329,24,Diamante
330,24,Diamante
331,0,Inactivo
332,24,Diamante
333,24,Diamante
334,24,Diamante
335,24,Diamante
336,24,Diamante
337,24,Diamante
338,24,Diamante
339,24,Diamante
340,0,Inactivo
341,0,Inactivo
342,24,Diamante
343,24,Diamante
344,24,Diamante
345,24,Diamante
346,24,Diamante
347,24,Diamante
348,24,Diamante
349,24,Diamante
350,24,Diamante
351,24,Diamante
352,0,Inactivo
353,24,Diamante
354,24,Diamante
355,24,Diamante
356,24,Diamante
357,24,Diamante
358,24,Diamante
359,24,Diamante
360,24,Diamante
361,24,Diamante
362,24,Diamante
363,24,Diamante
364,24,Diamante
365,24,Diamante
366,24,Diamante
367,24,Diamante
368,24,Diamante
369,24,Diamante
370,24,Diamante
371,24,Diamante
372,24,Diamante
373,0,Inactivo
374,24,Diamante
375,24,Diamante
376,0,Inactivo
377,24,Diamante
378,24,Diamante
379,24,Diamante
380,24,Diamante
381,24,Diamante
382,0,Inactivo
383,24,Diamante
384,24,Diamante
385,24,Diamante
386,24,Diamante
387,24,Diamante
388,24,Diamante
389,24,Diamante
390,24,Diamante
391,24,Diamante
392,0,Inactivo
393,24,Diamante
394,24,Diamante
395,0,Inactivo
396,24,Diamante
397,24,Diamante
398,24,Diamante
399,24,Diamante
400,2,Bronce
401,24,Diamante
402,24,Diamante
403,0,Inactivo
404,24,Diamante
405,24,Diamante
406,24,Diamante
407,24,Diamante
408,24,Diamante
409,0,Inactivo
410,24,Diamante
411,24,Diamante
412,24,Diamante
413,24,Diamante
414,24,Diamante
415,24,Diamante
416,24,Diamante
417,24,Diamante
