ID Cliente,Cantidad Estimada (cajas),Categoría Recomendada Nombre,Producto Recomendado Nombre
1,5.0,AGUA PURIFICADA,Dasani S/G 6.05 Lts NR Pet 4B
100,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1000,2.0,SABORES,Inca-Kola Choice 1L NR Pet 12B
1001,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1002,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1003,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1004,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1005,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1006,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1007,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1008,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1009,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 550ml NR 12B
101,0.0,TÉ,Fuze Tea Negro 3.0 250ml NR Pet 12B
1010,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1011,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1012,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1013,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1014,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1015,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1016,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1017,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1018,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
1019,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 550ml NR 12B
102,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1020,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1021,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1022,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1023,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1025,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1026,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1027,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1028,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1029,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
103,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1030,1.0,AGUA PURIFICADA,Dasani S/G 600 ml NR Pet 16B
1031,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1032,1.0,TÉ,Fuze Tea Negro 3.0 250ml NR Pet 12B
1033,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1034,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1035,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1036,3.0,AGUA PURIFICADA,Dasani S/G Scap 1.2 Lts NR Pet 12B Pilot
1038,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1039,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
104,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1040,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1041,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1042,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1044,2.0,AGUA PURIFICADA,Dasani S/G Scap 1.2 Lts NR Pet 12B
1045,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1046,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1047,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1048,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
1049,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
105,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1050,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1051,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 550ml NR 12B
1052,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1053,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1054,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1055,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1056,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1057,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1058,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1059,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
106,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
