ID Cliente,Volumen Estimado,Producto Recomendado
1,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
100,7.0,Coca-Cola 300 ml NR Pet 12B
1000,2.0,Inca Kola Choice 300 ml NR Pet 12B
1001,3.0,Coca-Cola E 1Lt NR Pet 12B
1002,2.0,Coca-Cola E 1Lt NR Pet 12B
1003,3.0,Coca-Cola E 1Lt NR Pet 12B
1004,2.0,Coca-Cola E 1Lt NR Pet 12B
1005,3.0,Coca-Cola E 1Lt NR Pet 12B
1006,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1007,2.0,Coca-Cola E 1Lt NR Pet 12B
1008,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1009,2.0,Coca-Cola E 3 Lts NR 6B
101,2.0,Coca-Cola 300 ml NR Pet 12B
1010,3.0,Coca-Cola E 1Lt NR Pet 12B
1011,2.0,Coca-Cola 300 ml NR Pet 12B
1012,3.0,Coca-Cola E 3 Lts NR 6B
1013,2.0,Coca-Cola E 3 Lts NR 6B
1014,7.0,Coca-Cola 300 ml NR Pet 12B
1015,2.0,Coca-Cola E 1Lt NR Pet 12B
1016,2.0,Coca-Cola E 3 Lts NR 6B
1017,4.0,Coca-Cola E 2Lts NR Pet 6B
1018,2.0,Coca-Cola E 3 Lts NR 6B
1019,5.0,Coca-Cola E 3 Lts NR 6B
102,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1020,2.0,Coca-Cola E 500 ml NR Pet 12B
1021,4.0,Coca-Cola 300 ml NR Pet 12B
1022,2.0,Inca-Kola Choice 1L NR Pet 12B
1023,4.0,Coca-Cola E 1Lt NR Pet 12B
1025,9.0,Coca-Cola E 1Lt NR Pet 12B
1026,4.0,Coca-Cola E 1Lt NR Pet 12B
1027,3.0,Coca-Cola E 1Lt NR Pet 12B
1028,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1029,3.0,Coca-Cola E 1Lt NR Pet 12B
103,6.0,Coca-Cola E 1Lt NR Pet 12B
1030,4.0,Sprite Harmony 2 Lts Ret Pet 9B
1031,4.0,Coca-Cola 300 ml NR Pet 12B
1032,4.0,Inca Kola Choice 300 ml NR Pet 12B
1033,3.0,Coca-Cola E 1Lt NR Pet 12B
1034,4.0,Coca-Cola E 1Lt NR Pet 12B
1035,17.0,Coca-Cola 300 ml NR Pet 12B
1036,2.0,Inca Kola Choice 300 ml NR Pet 12B
1038,8.0,Coca-Cola 300 ml NR Pet 12B
1039,5.0,Coca-Cola E 1Lt NR Pet 12B
104,29.0,Coca-Cola 300 ml NR Pet 12B
1040,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1041,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1042,2.0,Coca-Cola 300 ml NR Pet 12B
1044,2.0,Coca-Cola 300 ml NR Pet 12B
1045,4.0,Coca-Cola E 1Lt NR Pet 12B
1046,2.0,Coca-Cola E 1Lt NR Pet 12B
1047,4.0,Coca-Cola 300 ml NR Pet 12B
1048,2.0,Coca-Cola 300 ml NR Pet 12B
1049,4.0,Coca-Cola E 1Lt NR Pet 12B
105,14.0,Coca-Cola E 1.35 Lts NR Pet 12B
1050,10.0,Coca-Cola 300 ml NR Pet 12B
1051,6.0,Coca-Cola E 1Lt NR Pet 12B
